event_type,support_limb,frame_100hz,source
heel_strike,L,11846,GRF
toe_off,R,11860,GRF
heel_strike,R,11902,GRF
toe_off,L,11915,GRF
heel_strike,L,11955,GRF
toe_off,R,11970,GRF
heel_strike,R,12012,GRF
toe_off,L,12025,GRF
heel_strike,L,12066,GRF
toe_off,R,12080,GRF
heel_strike,R,12121,GRF
toe_off,L,12135,GRF
heel_strike,L,12175,GRF
toe_off,R,12190,GRF
heel_strike,R,12230,GRF
toe_off,L,12243,GRF
heel_strike,L,12288,GRF
toe_off,R,12301,GRF
heel_strike,R,12343,GRF
toe_off,L,12356,GRF
heel_strike,L,12400,GRF
toe_off,R,12414,GRF
heel_strike,R,12454,GRF
toe_off,L,12468,GRF
heel_strike,L,12511,GRF
toe_off,R,12525,GRF
heel_strike,R,12567,GRF
toe_off,L,12580,GRF
heel_strike,L,12623,GRF
toe_off,R,12637,GRF
heel_strike,R,12679,GRF
toe_off,L,12693,GRF
heel_strike,L,12735,GRF
toe_off,R,12749,GRF
heel_strike,R,12789,GRF
toe_off,L,12802,GRF
heel_strike,L,12843,GRF
toe_off,R,12857,GRF
heel_strike,R,12902,GRF
toe_off,L,12916,GRF
heel_strike,L,12958,GRF
toe_off,R,12972,GRF
heel_strike,R,13013,GRF
toe_off,L,13027,GRF
heel_strike,L,13068,GRF
toe_off,R,13082,GRF
heel_strike,R,13124,GRF
toe_off,L,13138,GRF
heel_strike,L,13180,GRF
toe_off,R,13195,GRF
heel_strike,R,13235,GRF
toe_off,L,13248,GRF
heel_strike,L,13287,GRF
toe_off,R,13303,GRF
heel_strike,R,13342,GRF
toe_off,L,13356,GRF
heel_strike,L,13395,GRF
toe_off,R,13409,GRF
heel_strike,R,13452,GRF
toe_off,L,13465,GRF
heel_strike,L,13509,GRF
toe_off,R,13522,GRF
heel_strike,R,13565,GRF
toe_off,L,13578,GRF
heel_strike,L,13622,GRF
toe_off,R,13635,GRF
heel_strike,R,13679,GRF
toe_off,L,13691,GRF
heel_strike,L,13735,GRF
toe_off,R,13748,GRF
heel_strike,R,13789,GRF
toe_off,L,13804,GRF
heel_strike,L,13846,GRF
toe_off,R,13859,GRF
heel_strike,R,13901,GRF
toe_off,L,13914,GRF
heel_strike,L,13955,GRF
toe_off,R,13969,GRF
heel_strike,R,14010,GRF
toe_off,L,14023,GRF
heel_strike,L,14064,GRF
toe_off,R,14078,GRF
heel_strike,R,14121,GRF
toe_off,L,14134,GRF
heel_strike,L,14177,GRF
toe_off,R,14190,GRF
heel_strike,R,14231,GRF
toe_off,L,14245,GRF
heel_strike,L,14286,GRF
toe_off,R,14300,GRF
heel_strike,R,14343,GRF
toe_off,L,14356,GRF
heel_strike,L,14398,GRF
toe_off,R,14413,GRF
heel_strike,R,14454,GRF
toe_off,L,14467,GRF
heel_strike,L,14508,GRF
toe_off,R,14523,GRF
heel_strike,R,14564,GRF
toe_off,L,14578,GRF
heel_strike,L,14624,GRF
toe_off,R,14635,GRF
